"type of destination";"type of trip";"Trips 2019K1";"Trips 2019K2";"Trips 2019K3";"Trips 2019K4";"Trips 2020K1";"Trips 2020K2";"Trips 2020K3"
"All trips";"Total trips";6.20;5.63;6.33;5.42;4.10;3.60;6.75
"All trips";"Total trips domestic";4.80;3.13;3.13;3.65;2.96;3.51;6.38
"All trips";"Total trips outbound";1.40;2.51;3.20;1.78;1.14;0.09;0.37
"City";"Total trips";0.52;0.87;1.11;0.81;0.42;0.16;0.46
"City";"Total trips domestic";0.14;0.18;0.24;0.24;0.11;0.15;0.39
"City";"Total trips outbound";0.37;0.69;0.87;0.57;0.31;0.00;0.08
"Seaside";"Total trips";0.37;1.05;1.45;0.49;0.34;0.98;1.42
"Seaside";"Total trips domestic";0.16;0.37;0.46;0.13;0.13;0.96;1.37
"Seaside";"Total trips outbound";0.21;0.68;0.99;0.36;0.21;0.02;0.05
"Countyside";"Total trips";0.37;0.58;0.55;0.23;0.23;0.27;0.65
"Countyside";"Total trips domestic";0.28;0.33;0.27;0.14;0.16;0.26;0.61
"Countyside";"Total trips outbound";0.09;0.25;0.28;0.08;0.07;0.01;0.05
"Cruise ship";"Total trips";0.03;0.02;0.03;0.05;0.02;0.00;0.02
"Cruise ship";"Total trips domestic";0.00;0.00;0.00;0.01;0.01;0.00;0.01
"Cruise ship";"Total trips outbound";0.03;0.02;0.03;0.03;0.02;0.00;0.01
"Mountains";"Total trips";0.82;0.38;0.56;0.73;0.83;0.58;1.66
"Mountains";"Total trips domestic";0.73;0.35;0.49;0.71;0.75;0.58;1.65
"Mountains";"Total trips outbound";0.09;0.03;0.06;0.02;0.07;0.00;0.01
"Other trip";"Total trips";4.09;2.73;2.63;3.12;2.27;1.61;2.54
"Other trip";"Total trips domestic";3.48;1.90;1.66;2.42;1.80;1.56;2.36
"Other trip";"Total trips outbound";0.61;0.83;0.97;0.70;0.47;0.06;0.19
